country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
India,1970,IND,557501312,7.49E+11,6.495,0.012,181.723,4.309,2.429,376.118,-109.526,-22.553,0.675,0.502,0.492,0.326,0.243,0.238,123.551,0.222,,,,94.307,4372.723,35779.34,3678.407,7.746,3.8,34101.07,588.464,,1369.935,1.02,1.422,0.003,0.923,0.002,,,194.395,0.349,,,,,49.332,0.088,,,763.741,2.251,1.22,1.879,2.169,2.215,1.03,3.74,1.248,0.304,0.016,6.352,0.597,,0.512,0.052,3.801,0.725,,4.275,0.014,0.01,0.027,0.002,,,,
India,1971,IND,569999168,7.56E+11,7.052,0.012,191.964,10.241,5.636,426.911,50.793,13.505,0.749,0.565,0.537,0.337,0.254,0.242,126.966,0.223,,,,101.359,4564.687,36206.246,3805.374,9.164,4.884,34336.016,643.906,,1393.662,1.051,1.418,0.002,1.085,0.002,,,234.947,0.412,,,,,55.443,0.097,,,794.386,2.324,1.238,2.101,2.228,2.222,1.037,3.705,1.267,0.319,0.019,6.339,0.609,,0.441,0.056,4.875,0.77,,4.257,0.014,0.01,0.027,0.002,,,,
India,1972,IND,582837952,7.54E+11,7.363,0.013,203.036,11.072,5.768,587.505,160.594,37.618,1.008,0.78,0.703,0.348,0.269,0.243,134.377,0.231,,,,108.722,4767.723,36793.754,3939.751,10.376,6.09,34720.484,702.784,,1434.118,1.109,1.213,0.002,1.205,0.002,,,384.47,0.66,,,,,58.878,0.101,,,835.859,2.29,1.251,2.792,2.362,2.227,1.045,3.686,1.287,0.322,0.022,6.353,0.619,,0.35,0.059,7.973,0.758,,4.241,0.015,0.011,0.028,0.002,,,,
India,1973,IND,596107456,7.89E+11,6.921,0.012,209.095,6.059,2.984,548.659,-38.846,-6.612,0.92,0.696,0.643,0.351,0.265,0.245,137.809,0.231,,,,115.643,4976.818,37342.414,4077.56,11.824,7.258,35060.051,764.534,,1431.493,1.082,1.447,0.002,1.169,0.002,,,339.564,0.57,,,,,61.749,0.104,,,853.324,2.032,1.224,2.519,2.351,2.214,1.052,3.661,1.307,0.326,0.024,6.361,0.628,,0.36,0.053,7.232,0.751,,4.221,0.015,0.011,0.028,0.003,,,,
India,1974,IND,609721920,7.97E+11,6.501,0.011,215.853,6.758,3.232,519.244,-29.415,-5.361,0.852,0.652,0.574,0.354,0.271,0.239,145.639,0.239,,,,122.144,5192.671,37861.66,4223.199,13.55,8.618,35363.441,825.162,,1482.623,1.134,1.726,0.003,1.359,0.002,,,303.391,0.498,,,,,60.628,0.099,,,903.988,1.906,1.269,2.407,2.485,2.195,1.059,3.635,1.329,0.338,0.027,6.363,0.635,,0.441,0.06,6.647,0.748,,4.202,0.015,0.011,0.029,0.003,,,,
India,1975,IND,623524224,8.68E+11,7.288,0.012,234.209,18.356,8.504,472.809,-46.436,-8.943,0.758,0.545,0.486,0.376,0.27,0.241,161.338,0.259,,,,129.432,5426.88,38334.469,4384.537,15.561,10.351,35602.039,887,,1558.899,1.12,2.012,0.003,1.733,0.003,,,238.6,0.383,,,,,61.838,0.099,,,972.011,2.15,1.374,2.183,2.674,2.193,1.07,3.606,1.354,0.358,0.03,6.353,0.643,,0.597,0.077,5.173,0.769,,4.186,0.016,0.011,0.03,0.003,,,,
India,1976,IND,637451456,8.79E+11,8.279,0.013,244.749,10.54,4.5,431.117,-41.692,-8.818,0.676,0.491,0.423,0.384,0.279,0.24,168.92,0.265,,,,137.711,5671.63,38765.586,4553.457,17.378,12.645,35788.406,950.439,,1599.265,1.16,1.817,0.003,2.294,0.004,,,186.367,0.292,,,,,63.438,0.1,,,1019.454,2.339,1.361,1.91,2.698,2.201,1.08,3.57,1.38,0.366,0.034,6.334,0.649,,0.46,0.096,4.06,0.743,,4.166,0.016,0.011,0.03,0.003,,,,
India,1977,IND,651685632,9.47E+11,8.322,0.013,258.962,14.212,5.807,656.472,225.355,52.272,1.007,0.693,0.609,0.397,0.273,0.24,177.51,0.272,,,,146.034,5930.591,39422.055,4730.966,19.471,15.125,36185.918,1018.996,,1654.663,1.138,2.092,0.003,2.481,0.004,,,397.51,0.61,,,,,68.557,0.105,,,1078.32,2.245,1.4,2.844,2.768,2.203,1.09,3.555,1.406,0.38,0.038,6.353,0.656,,0.548,0.102,8.658,0.776,,4.151,0.016,0.012,0.031,0.003,,,,
India,1978,IND,666267776,9.98E+11,8.421,0.013,263.15,4.188,1.617,523.39,-133.081,-20.272,0.786,0.524,0.467,0.395,0.264,0.235,174.689,0.262,,,,154.455,6193.741,39945.445,4905.655,21.453,17.866,36446.16,1094.313,,1682.466,1.123,1.982,0.003,2.741,0.004,,,260.241,0.391,,,,,75.317,0.113,,,1120.973,2.134,1.38,2.225,2.679,2.199,1.1,3.528,1.43,0.389,0.043,6.349,0.665,,0.508,0.107,5.84,0.823,,4.134,0.017,0.012,0.031,0.003,,,,
India,1979,IND,681248384,9.48E+11,7.752,0.011,276.285,13.135,4.992,454.543,-68.847,-13.154,0.667,0.48,0.384,0.406,0.292,0.234,180.622,0.265,,,,162.207,6470.026,40399.988,5086.278,23.67,20.896,36624.418,1176.976,,1736.458,1.248,2.217,0.003,3.03,0.004,,,178.258,0.262,,,,,82.664,0.121,,,1182.959,1.939,1.409,1.907,2.645,2.185,1.111,3.494,1.454,0.403,0.047,6.334,0.678,,0.615,0.113,4.215,0.891,,4.114,0.017,0.012,0.032,0.003,,,,
